California, Palmer Drought Severity Index (PDSI)
Missing: -99
Date,Value
199301,2.79
199302,3.44
199303,2.90
199304,2.46
199305,2.68
199306,3.06
199307,3.02
199308,2.89
199309,-0.39
199310,-0.70
199311,-1.12
199312,-1.53
199401,-2.44
199402,-2.26
199403,-2.96
199404,-2.89
199405,-2.20
199406,-2.04
199407,-2.22
199408,-2.41
199409,-2.33
199410,-2.45
199411,0.59
199412,0.29
199501,3.46
199502,2.23
199503,4.71
199504,4.79
199505,5.12
199506,5.76
199507,6.26
199508,5.71
199509,4.73
199510,3.37
199511,1.86
199512,2.18
199601,2.34
199602,2.90
199603,2.28
199604,2.15
199605,2.84
199606,3.08
199607,2.88
199608,2.16
199609,1.74
199610,1.84
199611,1.86
199612,3.45
199701,4.62
199702,-0.94
199703,-2.00
199704,-2.25
199705,-2.77
199706,-3.03
199707,-3.08
199708,-2.86
199709,0.45
199710,0.31
199711,0.71
199712,0.42
199801,1.48
199802,4.16
199803,4.17
199804,4.09
199805,5.50
199806,6.04
199807,7.17
199808,6.60
199809,6.23
199810,5.35
199811,5.48
199812,-0.63
199901,-0.79
199902,0.57
199903,0.29
199904,0.47
199905,0.22
199906,0.31
199907,0.50
199908,0.52
199909,-0.28
199910,-0.77
199911,-1.01
199912,-2.12
200001,-0.05
200002,1.00
200003,-0.54
200004,-0.56
200005,-0.42
200006,-0.44
200007,-0.80
200008,-0.79
200009,-0.83
200010,-0.11
200011,-0.76
200012,-1.93
200101,-2.35
200102,-2.06
200103,-2.36
200104,-1.99
200105,-2.36
200106,-2.66
200107,-2.79
200108,-2.89
200109,-2.82
200110,-3.09
200111,-2.24
200112,-1.41
200201,-1.69
200202,-2.24
200203,-2.48
200204,-2.68
200205,-2.58
200206,-2.76
200207,-3.07
200208,-3.28
200209,-3.37
200210,-3.77
200211,0.09
200212,1.60
200301,0.69
200302,0.37
200303,0.10
200304,1.40
200305,1.53
200306,1.53
200307,-0.19
200308,-0.01
200309,-0.40
200310,-1.35
200311,-1.28
200312,0.66
200401,0.14
200402,1.01
200403,-1.19
200404,-1.70
200405,-2.15
200406,-2.80
200407,-3.26
200408,-3.23
200409,-3.26
200410,1.60
200411,1.26
200412,1.73
200501,2.33
200502,2.28
200503,2.21
200504,2.09
200505,3.17
200506,3.83
200507,4.58
200508,4.08
200509,3.55
200510,3.01
200511,2.42
200512,3.46
200601,3.49
200602,2.84
200603,3.71
200604,4.61
200605,-0.05
200606,-0.14
200607,-0.68
200608,-1.10
200609,-1.44
200610,-1.78
200611,-1.91
200612,-2.02
200701,-3.09
200702,-2.81
200703,-3.73
200704,-3.65
200705,-3.88
200706,-4.28
200707,-4.47
200708,-4.42
200709,-3.92
200710,-3.33
200711,-3.88
200712,-3.75
200801,-2.36
200802,-2.33
200803,-3.18
200804,-3.53
200805,-3.60
200806,-3.98
200807,-4.22
200808,-4.20
200809,-4.29
200810,-4.30
200811,-4.13
200812,-3.99
200901,-4.81
200902,-4.15
200903,-4.08
200904,-4.20
200905,-3.67
200906,-3.39
200907,-3.27
200908,-3.28
200909,-3.43
200910,-2.51
200911,-3.00
200912,-3.00
201001,0.67
201002,0.66
201003,0.22
201004,1.22
201005,1.50
201006,1.93
201007,1.94
201008,1.53
201009,1.04
201010,1.99
201011,1.84
201012,3.14
201101,1.98
201102,1.82
201103,3.03
201104,2.47
201105,2.82
201106,3.42
201107,3.84
201108,3.50
201109,-0.21
201110,-0.08
201111,-0.45
201112,-1.63
201201,-2.27
201202,-3.18
201203,-2.31
201204,-1.74
201205,-1.96
201206,-1.86
201207,-1.74
201208,-1.58
201209,-1.89
201210,-1.97
201211,0.24
201212,1.08
201301,-0.80
201302,-1.66
201303,-2.43
201304,-2.83
201305,-2.98
201306,-3.28
201307,-3.51
201308,-3.23
201309,-2.61
201310,-2.93
201311,-3.40
201312,-4.37
201401,-5.88
201402,-5.87
201403,-5.59
201404,-5.53
201405,-6.05
201406,-6.77
201407,-7.01
201408,-6.35
201409,-5.53
201410,-5.30
201411,-5.22
201412,-3.98
201501,-4.84
201502,-4.86
201503,-5.67
201504,-5.53
201505,-5.11
201506,-5.13
201507,-4.85
201508,-4.75
201509,-4.48
201510,-4.48
201511,-4.30
201512,-3.57
201601,-2.30
201602,-2.99
201603,-2.08
201604,-2.10
201605,-1.89
201606,-1.88
201607,-2.30
201608,-2.55
201609,-2.70
201610,1.57
201611,1.24
201612,1.38
201701,3.61
201702,4.76
201703,-0.45
201704,0.48
201705,-0.22
201706,-0.26
201707,-0.75
201708,-0.98
201709,-0.96
201710,-1.55
201711,-1.41
201712,-2.63
201801,-3.13
201802,-4.15
201803,-3.05
201804,-2.63
201805,-2.42
201806,-2.29
201807,-2.41
201808,-2.71
201809,-2.93
201810,-3.04
201811,-2.79
201812,-3.06
201901,0.23
201902,2.10
201903,2.29
201904,1.67
201905,2.76
201906,2.97
201907,-0.09
201908,-0.34
201909,-0.16
201910,-0.80
201911,-1.28
201912,-0.90
202001,-1.60
202002,-2.72
202003,-2.45
202004,-2.14
202005,-1.65
202006,-1.44
202007,-1.57
202008,-1.83
202009,-2.21
202010,-3.03
202011,-3.38
202012,-3.89
202101,-4.03
202102,-4.62
202103,-4.79
202104,-5.19
202105,-5.85
202106,-6.69
202107,-7.04
202108,-6.87
202109,-6.38
202110,-4.16
202111,-4.44
202112,-3.17
202201,-4.06
202202,-4.84
