California, Precipitation
Units: Inches
Missing: -99
Date,Value
199301,8.86
199302,5.98
199303,3.05
199304,1.45
199305,1.44
199306,0.87
199307,0.03
199308,0.22
199309,0.04
199310,0.82
199311,1.42
199312,2.52
199401,1.91
199402,3.96
199403,1.24
199404,1.36
199405,1.35
199406,0.10
199407,0.05
199408,0.06
199409,0.34
199410,0.63
199411,3.73
199412,2.81
199501,12.50
199502,1.27
199503,9.57
199504,2.69
199505,1.73
199506,0.95
199507,0.17
199508,0.06
199509,0.07
199510,0.05
199511,0.36
199512,5.78
199601,5.12
199602,5.99
199603,2.57
199604,2.10
199605,2.01
199606,0.18
199607,0.20
199608,0.06
199609,0.27
199610,1.70
199611,3.35
199612,8.96
199701,7.62
199702,0.71
199703,0.84
199704,0.89
199705,0.38
199706,0.65
199707,0.31
199708,0.27
199709,0.94
199710,1.08
199711,3.95
199712,2.96
199801,6.97
199802,11.50
199803,4.15
199804,2.17
199805,3.03
199806,0.77
199807,0.20
199808,0.13
199809,0.74
199810,0.76
199811,4.34
199812,1.65
199901,3.54
199902,4.98
199903,2.40
199904,1.87
199905,0.33
199906,0.25
199907,0.31
199908,0.21
199909,0.18
199910,0.71
199911,2.20
199912,0.65
200001,5.09
200002,6.93
200003,1.92
200004,1.80
200005,0.94
200006,0.31
200007,0.06
200008,0.27
200009,0.35
200010,2.20
200011,0.79
200012,0.77
200101,3.52
200102,4.42
200103,2.21
200104,1.75
200105,0.15
200106,0.23
200107,0.28
200108,0.05
200109,0.30
200110,0.65
200111,4.21
200112,5.25
200201,2.22
200202,1.45
200203,1.91
200204,0.88
200205,0.59
200206,0.07
200207,0.06
200208,0.01
200209,0.11
200210,0.06
200211,3.18
200212,8.14
200301,1.92
200302,2.66
200303,2.77
200304,3.98
200305,1.09
200306,0.04
200307,0.22
200308,0.57
200309,0.17
200310,0.09
200311,2.35
200312,5.77
200401,2.27
200402,5.88
200403,1.08
200404,0.70
200405,0.45
200406,0.08
200407,0.06
200408,0.19
200409,0.14
200410,3.72
200411,1.68
200412,5.51
200501,5.56
200502,4.03
200503,3.69
200504,1.79
200505,2.54
200506,0.67
200507,0.14
200508,0.29
200509,0.32
200510,1.00
200511,2.26
200512,7.81
200601,4.54
200602,2.69
200603,5.41
200604,4.16
200605,0.73
200606,0.15
200607,0.15
200608,0.06
200609,0.06
200610,0.45
200611,2.08
200612,3.13
200701,0.81
200702,4.24
200703,0.74
200704,1.27
200705,0.32
200706,0.12
200707,0.18
200708,0.12
200709,0.50
200710,1.50
200711,0.82
200712,3.21
200801,7.11
200802,2.76
200803,0.61
200804,0.34
200805,0.54
200806,0.03
200807,0.14
200808,0.12
200809,0.04
200810,0.70
200811,2.41
200812,3.05
200901,1.27
200902,4.64
200903,2.26
200904,0.57
200905,1.24
200906,0.60
200907,0.05
200908,0.12
200909,0.09
200910,2.07
200911,0.99
200912,3.15
201001,6.48
201002,3.65
201003,2.19
201004,3.47
201005,1.07
201006,0.26
201007,0.07
201008,0.10
201009,0.16
201010,3.00
201011,2.60
201012,8.13
201101,1.28
201102,3.34
201103,6.41
201104,1.10
201105,1.44
201106,0.92
201107,0.22
201108,0.10
201109,0.28
201110,1.54
201111,1.69
201112,0.47
201201,3.12
201202,1.22
201203,4.74
201204,2.48
201205,0.20
201206,0.32
201207,0.26
201208,0.30
201209,0.10
201210,0.99
201211,3.57
201212,6.15
201301,1.19
201302,0.58
201303,1.33
201304,0.71
201305,0.62
201306,0.38
201307,0.28
201308,0.38
201309,0.77
201310,0.26
201311,0.99
201312,0.44
201401,0.54
201402,4.02
201403,3.28
201404,1.06
201405,0.35
201406,0.06
201407,0.22
201408,0.45
201409,0.72
201410,1.06
201411,1.84
201412,6.30
201501,0.65
201502,2.86
201503,0.78
201504,1.06
201505,0.93
201506,0.23
201507,0.66
201508,0.08
201509,0.33
201510,0.90
201511,1.87
201512,4.69
201601,6.39
201602,1.21
201603,4.88
201604,1.52
201605,0.77
201606,0.27
201607,0.06
201608,0.06
201609,0.10
201610,3.82
201611,2.16
201612,4.49
201701,9.92
201702,7.94
201703,2.45
201704,2.76
201705,0.43
201706,0.26
201707,0.09
201708,0.27
201709,0.43
201710,0.34
201711,2.98
201712,0.30
201801,3.33
201802,0.57
201803,5.12
201804,2.13
201805,0.66
201806,0.07
201807,0.22
201808,0.04
201809,0.06
201810,0.70
201811,2.81
201812,2.38
201901,5.23
201902,8.57
201903,4.05
201904,1.22
201905,2.50
201906,0.09
201907,0.08
201908,0.13
201909,0.61
201910,0.16
201911,1.61
201912,4.87
202001,2.06
202002,0.21
202003,3.19
202004,1.99
202005,1.20
202006,0.16
202007,0.05
202008,0.10
202009,0.04
202010,0.05
202011,1.19
202012,1.83
202101,3.65
202102,1.39
202103,1.73
202104,0.29
202105,0.11
202106,0.14
202107,0.29
202108,0.10
202109,0.36
202110,3.66
202111,0.95
202112,6.26
202201,0.45
202202,0.24
202203,1.05
202204,1.72
202205,0.30
202206,0.44
202207,0.13
202208,0.40
202209,0.83
202210,0.17
202211,2.00
202212,6.41
202301,8.24
202302,3.39
202303,7.10
