County_name,State_name,County_code,Year,Total_population,Total_households,Female_population,Male_population,Median_age,Median_household_income_past_12m,Bachelor_degree,Master_degree,Professional_degree,Doctorate_degree,Num_employed,Num_unemployed,Labor_force,Avg_household_size,Median_value_owner_occupied_housing,Median_gross_rent,Households_no_internet,Households_internet_subscription,Households_solar_energy_fuel,Num_under_18,Num_18_to_34,Num_35_to_64,Num_65_more,Num_industry_agriculture_fishing_hunting,Calculated_Total,Total_matches
"Merced County, California",06,047,2011,253606,74079,125935,127671,29.5,43945,,,,,94066,16875,110941,3.37,197700,806,,,42,80678,64432,85077,23419,10964,253606,True
"Mariposa County, California",06,043,2011,18290,7607,9031,9259,48.4,49174,,,,,7602,1152,8754,2.28,248900,748,,,28,3382,2850,8311,3747,243,18290,True
"Yuba County, California",06,115,2011,71817,23885,35565,36252,31.7,46617,,,,,25417,5218,30635,2.95,194200,829,,,10,20968,18084,25691,7074,1077,71817,True
"Contra Costa County, California",06,013,2011,1037817,370925,531217,506600,38.3,79135,,,,,483584,50498,534082,2.77,490200,1309,,,203,259160,213627,437493,127537,2076,1037817,True
"Lassen County, California",06,035,2011,35001,10097,12016,22985,37.0,52484,,,,,10453,1157,11610,2.43,199200,855,,,13,6093,10438,15111,3359,490,35001,True
"Stanislaus County, California",06,099,2011,512469,164933,258699,253770,32.6,50671,,,,,205958,34207,240165,3.07,232000,962,,,65,148069,123333,187176,53891,10688,512469,True
"Sonoma County, California",06,097,2011,478551,184170,243235,235316,39.7,64343,,,,,232866,22146,255012,2.54,477300,1223,,,407,106283,105015,201651,65602,6660,478551,True
"Tehama County, California",06,103,2011,62985,23810,31665,31320,39.4,38753,,,,,22885,3601,26486,2.6,208000,813,,,15,16180,12303,24495,10007,1877,62985,True
"Mono County, California",06,051,2011,14016,5416,6462,7554,36.5,60469,,,,,8001,650,8651,2.53,428600,1096,,,0,2963,3709,6082,1262,313,14016,True
"San Benito County, California",06,069,2011,54873,16785,27456,27417,33.9,65570,,,,,24917,3081,27998,3.23,432900,1202,,,22,16141,12066,21338,5328,2343,54873,True
"Sacramento County, California",06,067,2011,1408480,510976,718323,690157,34.7,56553,,,,,621437,82587,704024,2.7,285000,1003,,,128,362686,347130,542377,156287,3613,1408480,True
"El Dorado County, California",06,017,2011,179878,68812,89822,90056,43.1,68815,,,,,83412,8986,92398,2.6,409400,1098,,,61,41496,30311,82528,25543,827,179878,True
"Monterey County, California",06,053,2011,411385,125217,199720,211665,32.8,59737,,,,,175425,21210,196635,3.14,497400,1160,,,127,110356,107181,150344,43504,26118,411385,True
"Sierra County, California",06,091,2011,3277,1328,1702,1575,51.5,50308,,,,,1300,165,1465,2.42,304700,913,,,0,554,356,1676,691,80,3277,True
"Lake County, California",06,033,2011,64392,25654,31934,32458,44.3,39525,,,,,24493,3792,28285,2.46,235900,891,,,0,13843,11243,28135,11171,1110,64392,True
"Modoc County, California",06,049,2011,9587,3947,4765,4822,46.5,35402,,,,,3573,369,3942,2.28,162500,613,,,0,2120,1490,4123,1854,714,9587,True
"Inyo County, California",06,027,2011,18457,7910,9128,9329,45.1,49571,,,,,8737,664,9401,2.3,271100,882,,,9,3986,3172,7829,3470,126,18457,True
"Santa Barbara County, California",06,083,2011,419793,141635,209144,210649,33.4,61896,,,,,195736,17659,213395,2.84,523800,1303,,,188,96726,120550,148731,53786,15951,419793,True
"Imperial County, California",06,025,2011,171343,48117,82858,88485,31.8,39402,,,,,58017,11406,69423,3.34,169600,699,,,0,50261,42644,60562,17876,5306,171343,True
"Alameda County, California",06,001,2011,1494876,536160,761579,733297,36.4,70821,,,,,718035,72802,790837,2.73,558300,1228,,,664,339631,373709,617075,164461,1771,1494876,True
"Napa County, California",06,055,2011,135377,49640,67925,67452,39.5,68641,,,,,64899,5636,70535,2.63,521700,1279,,,67,31335,28580,55126,20336,3947,135377,True
"San Francisco County, California",06,075,2011,797983,338366,393493,404490,38.4,72947,,,,,447467,36368,483835,2.3,767300,1388,,,506,107294,242100,339312,109277,925,797983,True
"Colusa County, California",06,011,2011,21297,6989,10307,10990,33.5,49558,,,,,8853,1414,10267,2.98,244200,885,,,8,6356,4624,7782,2535,1778,21297,True
"Kings County, California",06,031,2011,152335,40716,65944,86391,31.0,48838,,,,,52895,7973,60868,3.33,208100,864,,,0,42256,43470,54741,11868,8591,152335,True
"Fresno County, California",06,019,2011,920623,285338,460507,460116,30.6,46903,,,,,367858,53357,421215,3.16,236400,850,,,287,276004,237876,314877,91866,35698,920623,True
"Orange County, California",06,059,2011,2989948,987164,1510337,1479611,36.0,75762,,,,,1441313,130490,1571803,2.99,575100,1463,,,521,738138,712905,1196784,342121,6485,2989948,True
