Date, Palmer Drought Severity Index (PDSI),State, Precipitation_x, Average Temperature_x, Average Temperature_y, Precipitation_y
1993-02,-0.40,Alabama,3.72,46.2,,
1993-03,-0.19,Alabama,6.59,51.7,,
1993-04,-0.47,Alabama,3.26,58.7,,
1993-05,-0.44,Alabama,3.80,68.8,,
1993-06,-0.62,Alabama,3.39,77.6,,
1993-07,-1.57,Alabama,2.88,82.2,,
1993-08,-1.55,Alabama,4.72,80.1,,
1993-09,-1.50,Alabama,3.83,74.0,,
1993-10,0.22,Alabama,3.71,62.8,,
1993-11,0.23,Alabama,3.88,51.7,,
1993-12,0.01,Alabama,4.29,45.3,,
1994-01,0.15,Alabama,5.31,40.8,,
1994-02,0.05,Alabama,5.08,50.3,,
1994-03,0.27,Alabama,7.25,55.7,,
1994-04,-0.22,Alabama,4.40,64.7,,
1994-05,-0.39,Alabama,3.20,68.4,,
1994-06,0.96,Alabama,7.00,77.8,,
1994-07,2.41,Alabama,9.43,77.6,,
1994-08,2.02,Alabama,2.91,77.2,,
1994-09,1.93,Alabama,3.61,72.2,,
1994-10,2.52,Alabama,4.97,64.0,,
1994-11,-0.12,Alabama,3.50,58.0,,
1994-12,-0.51,Alabama,3.67,49.9,,
1995-01,-0.54,Alabama,4.83,45.4,,
1995-02,-0.34,Alabama,5.65,47.6,,
1995-03,-0.65,Alabama,5.42,58.2,,
1995-04,-0.56,Alabama,5.07,63.2,,
1995-05,-0.87,Alabama,3.32,72.1,,
1995-06,-0.93,Alabama,3.36,75.2,,
1995-07,-1.52,Alabama,3.87,81.1,,
1995-08,-1.53,Alabama,4.79,81.9,,
1995-09,-1.68,Alabama,3.09,73.7,,
1995-10,1.99,Alabama,9.30,63.6,,
1995-11,2.63,Alabama,5.80,49.7,,
1995-12,2.44,Alabama,5.07,44.7,,
1996-01,2.93,Alabama,7.40,43.5,,
1996-02,2.31,Alabama,4.07,47.3,,
1996-03,2.75,Alabama,8.45,50.9,,
1996-04,2.50,Alabama,4.65,60.0,,
1996-05,1.57,Alabama,2.56,73.0,,
1996-06,1.10,Alabama,3.38,76.7,,
1996-07,1.23,Alabama,6.63,79.6,,
1996-08,1.29,Alabama,4.70,77.9,,
1996-09,1.84,Alabama,5.71,72.1,,
1996-10,1.70,Alabama,2.38,62.7,,
1996-11,1.48,Alabama,3.46,52.7,,
1996-12,1.29,Alabama,4.94,49.1,,
1997-01,1.57,Alabama,6.47,45.9,,
1997-02,1.64,Alabama,6.16,50.8,,
1997-03,0.60,Alabama,3.87,61.2,,
1997-04,0.98,Alabama,6.03,58.8,,
1997-05,1.48,Alabama,5.39,67.2,,
1997-06,2.80,Alabama,7.91,74.0,,
1997-07,2.60,Alabama,5.33,80.1,,
1997-08,2.11,Alabama,2.88,77.7,,
1997-09,1.71,Alabama,3.30,74.8,,
1997-10,2.29,Alabama,5.10,63.1,,
1997-11,2.81,Alabama,5.70,50.0,,
1997-12,2.53,Alabama,4.82,44.8,,
1998-01,3.15,Alabama,8.14,47.8,,
1998-02,3.43,Alabama,7.29,49.2,,
1998-03,3.09,Alabama,6.20,53.4,,
1998-04,2.94,Alabama,5.39,61.6,,
1998-05,-0.80,Alabama,2.28,73.6,,
1998-06,-1.42,Alabama,3.22,80.7,,
1998-07,-1.47,Alabama,6.07,81.8,,
1998-08,-1.85,Alabama,3.44,79.9,,
1998-09,1.14,Alabama,8.29,77.4,,
1998-10,-0.40,Alabama,1.37,66.8,,
1998-11,-0.67,Alabama,3.30,57.9,,
1998-12,-0.96,Alabama,4.27,51.4,,
1999-01,-0.08,Alabama,7.94,49.4,,
1999-02,-0.93,Alabama,2.55,51.8,,
1999-03,-0.95,Alabama,5.65,52.8,,
1999-04,-1.68,Alabama,2.57,67.1,,
1999-05,-0.04,Alabama,4.11,69.5,,
1999-06,1.45,Alabama,8.31,76.7,,
1999-07,-0.15,Alabama,4.63,80.5,,
1999-08,-1.00,Alabama,2.02,81.8,,
1999-09,-1.57,Alabama,1.91,73.3,,
1999-10,-1.33,Alabama,3.39,63.6,,
1999-11,-1.72,Alabama,2.61,56.2,,
1999-12,-2.17,Alabama,3.32,47.0,,
2000-01,-2.12,Alabama,4.69,46.5,,
2000-02,-2.96,Alabama,1.99,52.3,,
2000-03,-3.12,Alabama,5.05,58.9,,
2000-04,-2.73,Alabama,4.83,60.1,,
2000-05,-3.59,Alabama,1.32,74.0,,
2000-06,-3.60,Alabama,3.71,77.6,,
2000-07,-4.61,Alabama,2.26,81.9,,
2000-08,-5.25,Alabama,2.36,81.0,,
2000-09,-4.97,Alabama,3.49,73.9,,
2000-10,-5.29,Alabama,0.80,64.6,,
2000-11,1.10,Alabama,7.70,52.8,,
2000-12,0.92,Alabama,4.29,39.2,,
2001-01,0.78,Alabama,4.69,41.2,,
2001-02,0.27,Alabama,4.11,52.6,,
2001-03,1.36,Alabama,10.11,51.4,,
2001-04,0.86,Alabama,3.88,64.7,,
2001-05,0.73,Alabama,4.03,70.6,,
2001-06,1.78,Alabama,7.15,75.8,,
2001-07,1.30,Alabama,3.95,79.7,,
2001-08,1.71,Alabama,5.48,78.5,,
2001-09,2.04,Alabama,4.80,71.9,,
2001-10,2.25,Alabama,3.27,60.6,,
2001-11,-0.18,Alabama,3.43,58.8,,
2001-12,-0.45,Alabama,4.14,50.6,,
2002-01,-0.43,Alabama,5.11,46.8,,
2002-02,-0.99,Alabama,2.99,46.0,,
2002-03,-1.03,Alabama,5.79,55.0,,
2002-04,-1.82,Alabama,2.19,66.4,,
2002-05,-1.75,Alabama,4.09,70.2,,
2002-06,-1.68,Alabama,3.77,77.2,,
2002-07,-1.65,Alabama,5.38,80.3,,
2002-08,-1.92,Alabama,3.24,79.7,,
2002-09,0.97,Alabama,7.57,77.3,,
2002-10,1.77,Alabama,5.58,67.8,,
2002-11,2.11,Alabama,4.88,51.0,,
2002-12,2.38,Alabama,6.54,45.2,,
2003-01,1.38,Alabama,2.33,40.0,,
2003-02,1.71,Alabama,6.76,48.0,,
2003-03,1.00,Alabama,4.67,57.6,,
2003-04,1.28,Alabama,6.41,63.3,,
2003-05,2.54,Alabama,8.49,71.6,,
2003-06,3.75,Alabama,8.17,75.6,,
2003-07,4.34,Alabama,7.74,78.5,,
2003-08,4.61,Alabama,5.70,79.4,,
2003-09,4.38,Alabama,3.70,73.1,,
2003-10,-0.13,Alabama,1.61,63.5,,
2003-11,0.18,Alabama,4.67,58.2,,
2003-12,-0.35,Alabama,3.47,44.0,,
2004-01,-0.85,Alabama,3.27,44.2,,
2004-02,-0.16,Alabama,7.06,45.4,,
2004-03,-1.36,Alabama,2.28,59.0,,
2004-04,-1.58,Alabama,3.37,61.2,,
2004-05,-1.59,Alabama,4.00,72.7,,
2004-06,1.19,Alabama,7.53,76.8,,
2004-07,0.95,Alabama,4.43,79.2,,
2004-08,1.21,Alabama,4.48,76.3,,
2004-09,2.10,Alabama,6.63,73.8,,
2004-10,2.37,Alabama,3.87,68.5,,
2004-11,3.46,Alabama,8.12,57.8,,
2004-12,3.12,Alabama,4.84,45.1,,
2005-01,2.03,Alabama,2.86,49.2,,
2005-02,1.69,Alabama,4.96,51.2,,
2005-03,1.43,Alabama,5.85,53.5,,
2005-04,2.07,Alabama,7.60,61.0,,
2005-05,1.53,Alabama,2.80,68.3,,
2005-06,2.17,Alabama,6.37,76.7,,
2005-07,3.23,Alabama,9.19,80.4,,
2005-08,3.65,Alabama,6.01,80.5,,
2005-09,-0.05,Alabama,3.29,76.9,,
2005-10,-0.58,Alabama,0.61,63.8,,
2005-11,-0.67,Alabama,3.59,55.8,,
2005-12,-0.85,Alabama,3.95,43.4,,
2006-01,-0.85,Alabama,5.23,51.1,,
2006-02,-0.76,Alabama,5.05,46.1,,
2006-03,-1.62,Alabama,2.97,56.1,,
2006-04,-2.16,Alabama,3.07,67.5,,
2006-05,-1.87,Alabama,4.41,70.4,,
2006-06,-2.39,Alabama,2.01,78.1,,
2006-07,-3.12,Alabama,3.33,81.9,,
2006-08,-3.37,Alabama,3.91,82.3,,
2006-09,-3.19,Alabama,3.53,72.8,,
