GeoName,Year,Total_population,Total_households,Female_population,Male_population,Median_age,Median_household_income_past_12m,Bachelor_degree,Master_degree,Professional_degree,Doctorate_degree,Num_employed,Num_unemployed,Labor_force,Avg_household_size,Median_value_owner_occupied_housing,Households_solar_energy_fuel,Num_under_18,Num_18_to_34,Num_35_to_64,Num_65_more,Num_industry_agriculture_fishing_hunting,consensus,consensusOppose,futuregen,futuregenOppose,happening,happeningOppose,harmUS,harmUSOppose,human,humanOppose,personal,personalOppose,regulate,regulateOppose,timing,timingOppose,worried,worriedOppose,Average_Temperature_per_Year,Average_Precipitation_per_Year,Average_PDSI_per_Year,Region,Price_per_unit_thousands_USD,Volume_California_Million_Pieces,Revenue_California_Billion_USD
"Lake County, California",2014,64209,26771,31910,32299,45.2,35997,4935.0,1745.0,420.0,344.0,22288,4452,26740,2.36,167900,24,13209,11750,27089,12161,1238,44.0,32.0,67.0,22.0,66.0,15.0,53.0,37.0,51.0,33.0,35.0,53.0,78.0,21.0,43.0,56.0,57.0,43.0,61.449999999999996,1.6583333333333332,-5.756666666666667,California,0.5282500000000001,1.573513646550848,0.6800580588669835
"Modoc County, California",2014,9335,3893,4608,4727,47.1,38560,955.0,144.0,95.0,59.0,3517,495,4012,2.25,157300,0,1981,1491,3886,1977,544,45.0,31.0,65.0,24.0,66.0,15.0,51.0,39.0,47.0,35.0,34.0,54.0,74.0,26.0,42.0,56.0,55.0,44.0,61.449999999999996,1.6583333333333332,-5.756666666666667,California,0.5282500000000001,1.573513646550848,0.6800580588669835
"Inyo County, California",2014,18439,7891,9171,9268,45.3,45625,1800.0,730.0,190.0,115.0,8336,713,9049,2.27,235200,0,3879,3318,7583,3659,223,45.0,31.0,66.0,23.0,67.0,15.0,54.0,37.0,49.0,34.0,36.0,53.0,77.0,23.0,43.0,56.0,57.0,42.0,61.449999999999996,1.6583333333333332,-5.756666666666667,California,0.5282500000000001,1.573513646550848,0.6800580588669835
"Santa Barbara County, California",2014,431555,142028,215185,216370,33.6,63409,49596.0,21078.0,6943.0,5951.0,198675,19444,218119,2.91,446500,263,98110,124841,150825,57779,16458,50.0,27.0,68.0,21.0,70.0,11.0,59.0,32.0,54.0,28.0,42.0,48.0,77.0,21.0,48.0,50.0,62.0,37.0,61.449999999999996,1.6583333333333332,-5.756666666666667,California,0.5282500000000001,1.573513646550848,0.6800580588669835
"Imperial County, California",2014,177026,46952,86290,90736,31.9,41772,9993.0,3361.0,718.0,132.0,57838,12765,70603,3.55,145200,12,50993,44506,61706,19821,5450,43.0,27.0,67.0,18.0,67.0,12.0,59.0,27.0,54.0,29.0,44.0,40.0,76.0,22.0,46.0,53.0,62.0,38.0,61.449999999999996,1.6583333333333332,-5.756666666666667,California,0.5282500000000001,1.573513646550848,0.6800580588669835
"Alameda County, California",2014,1559308,551734,795343,763965,36.9,73775,262854.0,127775.0,29431.0,29385.0,749786,79503,829289,2.77,509300,966,342075,390709,642338,184186,2338,60.0,23.0,76.0,14.0,80.0,8.0,64.0,26.0,64.0,23.0,46.0,44.0,82.0,16.0,55.0,45.0,71.0,29.0,61.449999999999996,1.6583333333333332,-5.756666666666667,California,0.5282500000000001,1.573513646550848,0.6800580588669835
"Napa County, California",2014,139253,49631,69952,69301,40.3,70925,20343.0,6486.0,2502.0,1152.0,67312,6162,73474,2.71,439000,225,31079,29712,56191,22271,4114,50.0,29.0,70.0,19.0,70.0,13.0,58.0,32.0,57.0,28.0,40.0,50.0,80.0,18.0,48.0,52.0,62.0,37.0,61.449999999999996,1.6583333333333332,-5.756666666666667,California,0.5282500000000001,1.573513646550848,0.6800580588669835
"San Francisco County, California",2014,829072,348832,407556,421516,38.6,78378,208286.0,87685.0,31068.0,15524.0,466640,38318,504958,2.32,765700,576,111188,251471,350340,116073,685,61.0,24.0,75.0,15.0,79.0,9.0,64.0,29.0,65.0,20.0,45.0,47.0,82.0,17.0,55.0,44.0,71.0,29.0,61.449999999999996,1.6583333333333332,-5.756666666666667,California,0.5282500000000001,1.573513646550848,0.6800580588669835
"Colusa County, California",2014,21424,6912,10268,11156,34.1,50503,1491.0,225.0,150.0,30.0,8755,1239,9994,3.06,174500,15,6169,4738,7838,2679,2235,40.0,30.0,65.0,22.0,64.0,15.0,54.0,33.0,48.0,34.0,38.0,47.0,74.0,25.0,43.0,56.0,57.0,43.0,61.449999999999996,1.6583333333333332,-5.756666666666667,California,0.5282500000000001,1.573513646550848,0.6800580588669835
"Kings County, California",2014,151390,41108,67157,84233,31.2,47341,8265.0,2065.0,1000.0,114.0,50951,8426,59377,3.24,170000,54,41869,42604,54076,12841,8097,41.0,29.0,65.0,22.0,63.0,15.0,55.0,32.0,48.0,34.0,40.0,46.0,75.0,23.0,44.0,55.0,57.0,42.0,61.449999999999996,1.6583333333333332,-5.756666666666667,California,0.5282500000000001,1.573513646550848,0.6800580588669835
"Fresno County, California",2014,948844,292550,475417,473427,31.2,45201,73566.0,22909.0,8743.0,4395.0,367392,61422,428814,3.18,191700,842,277827,246176,324277,100564,37490,44.0,28.0,68.0,19.0,67.0,14.0,58.0,30.0,50.0,34.0,41.0,45.0,76.0,22.0,47.0,52.0,62.0,38.0,61.449999999999996,1.6583333333333332,-5.756666666666667,California,0.5282500000000001,1.573513646550848,0.6800580588669835
"Orange County, California",2014,3086331,1002285,1561260,1525071,36.7,75998,494995.0,179886.0,57096.0,30554.0,1478643,142427,1621070,3.04,532300,819,729650,741001,1233518,382162,5979,45.0,32.0,68.0,22.0,68.0,15.0,57.0,35.0,54.0,33.0,39.0,50.0,77.0,23.0,45.0,55.0,57.0,42.0,61.449999999999996,1.6583333333333332,-5.756666666666667,California,0.5282500000000001,1.573513646550848,0.6800580588669835
"Sutter County, California",2014,95067,31723,47804,47263,35.0,51527,7916.0,2127.0,788.0,318.0,37377,6075,43452,2.96,189600,22,25534,21997,34536,13000,3607,43.0,31.0,67.0,22.0,66.0,15.0,55.0,34.0,50.0,32.0,38.0,50.0,76.0,23.0,44.0,55.0,58.0,42.0,61.449999999999996,1.6583333333333332,-5.756666666666667,California,0.5282500000000001,1.573513646550848,0.6800580588669835
"San Joaquin County, California",2014,701050,217343,352434,348616,33.2,53253,53111.0,15921.0,5186.0,3305.0,275581,48592,324173,3.15,211300,392,199585,166781,256997,77687,13650,45.0,28.0,68.0,19.0,70.0,13.0,57.0,31.0,56.0,29.0,40.0,46.0,76.0,22.0,47.0,53.0,61.0,39.0,61.449999999999996,1.6583333333333332,-5.756666666666667,California,0.5282500000000001,1.573513646550848,0.6800580588669835
"Merced County, California",2014,261609,76516,129710,131899,30.2,43066,12985.0,4009.0,1706.0,885.0,94994,20181,115175,3.35,152600,83,80126,67567,87801,26115,12368,39.0,30.0,65.0,21.0,65.0,14.0,55.0,31.0,47.0,32.0,40.0,45.0,75.0,24.0,44.0,55.0,58.0,41.0,61.449999999999996,1.6583333333333332,-5.756666666666667,California,0.5282500000000001,1.573513646550848,0.6800580588669835
"Mariposa County, California",2014,17946,7289,8896,9050,50.2,50560,2006.0,696.0,228.0,126.0,7454,1132,8586,2.33,240300,0,3095,2991,7653,4207,190,47.0,30.0,66.0,24.0,67.0,15.0,53.0,38.0,48.0,35.0,35.0,54.0,75.0,24.0,43.0,56.0,57.0,43.0,61.449999999999996,1.6583333333333332,-5.756666666666667,California,0.5282500000000001,1.573513646550848,0.6800580588669835
"Yuba County, California",2014,73059,24712,36039,37020,32.1,45470,4443.0,1365.0,384.0,136.0,24794,5203,29997,2.9,170800,12,20780,18540,25794,7945,1497,43.0,31.0,66.0,22.0,65.0,15.0,53.0,36.0,46.0,35.0,36.0,51.0,76.0,23.0,43.0,56.0,56.0,44.0,61.449999999999996,1.6583333333333332,-5.756666666666667,California,0.5282500000000001,1.573513646550848,0.6800580588669835
"Contra Costa County, California",2014,1081232,380183,554058,527174,38.7,79799,183654.0,68914.0,21514.0,13504.0,499984,54315,554299,2.82,417400,780,260195,226208,450405,144424,2648,54.0,26.0,69.0,20.0,72.0,12.0,60.0,31.0,51.0,32.0,42.0,48.0,78.0,20.0,50.0,49.0,62.0,38.0,61.449999999999996,1.6583333333333332,-5.756666666666667,California,0.5282500000000001,1.573513646550848,0.6800580588669835
"Lassen County, California",2014,33356,9821,10999,22357,37.3,53351,1999.0,695.0,318.0,113.0,9411,1458,10869,2.3,176500,31,5012,10657,14059,3628,429,43.0,31.0,65.0,23.0,65.0,15.0,52.0,37.0,49.0,34.0,35.0,52.0,76.0,24.0,42.0,57.0,55.0,45.0,61.449999999999996,1.6583333333333332,-5.756666666666667,California,0.5282500000000001,1.573513646550848,0.6800580588669835
"Stanislaus County, California",2014,522794,168090,264176,258618,33.3,49573,35408.0,11419.0,4635.0,1368.0,205219,40070,245289,3.07,175400,203,145775,126523,191036,59460,11115,43.0,30.0,67.0,21.0,65.0,16.0,56.0,32.0,55.0,30.0,39.0,48.0,79.0,20.0,45.0,55.0,59.0,41.0,61.449999999999996,1.6583333333333332,-5.756666666666667,California,0.5282500000000001,1.573513646550848,0.6800580588669835
"Sonoma County, California",2014,491790,186935,250461,241329,40.5,63799,72304.0,25309.0,9416.0,4201.0,235040,24894,259934,2.58,414500,595,104532,108931,203192,75135,6801,51.0,29.0,71.0,18.0,69.0,13.0,58.0,33.0,59.0,26.0,39.0,50.0,81.0,18.0,49.0,51.0,62.0,38.0,61.449999999999996,1.6583333333333332,-5.756666666666667,California,0.5282500000000001,1.573513646550848,0.6800580588669835
"Tehama County, California",2014,63284,23480,31790,31494,40.0,42369,4048.0,1276.0,520.0,159.0,22521,4315,26836,2.65,170300,60,15579,12622,24400,10683,1536,43.0,32.0,66.0,22.0,64.0,15.0,53.0,37.0,47.0,34.0,35.0,53.0,77.0,23.0,43.0,56.0,56.0,43.0,61.449999999999996,1.6583333333333332,-5.756666666666667,California,0.5282500000000001,1.573513646550848,0.6800580588669835
"Mono County, California",2014,14193,5160,6673,7520,37.2,61814,2322.0,588.0,309.0,0.0,7520,1014,8534,2.7,324600,8,2875,3661,6055,1602,353,51.0,28.0,69.0,22.0,70.0,13.0,55.0,36.0,52.0,31.0,38.0,52.0,77.0,23.0,46.0,53.0,61.0,39.0,61.449999999999996,1.6583333333333332,-5.756666666666667,California,0.5282500000000001,1.573513646550848,0.6800580588669835
