wave,year,happening,cause_recoded,sci_consensus,worry,harm_personally,harm_US,harm_dev_countries,harm_future_gen,harm_plants_animals,when_harm_US,reg_CO2_pollutant,fund_research,discuss_GW,gender,age_category,generation,educ_category,income_category,race,party,party_x_ideo,registered_voter,region9,region4,religion,house_size,house_ages18plus,house_own
Jan 2010,2010,Don't know,Caused mostly by human activities,Most scientists think global warming is happening,Somewhat worried,A moderate amount,A moderate amount,A moderate amount,Only a little,Only a little,In 100 years,Somewhat oppose,Somewhat oppose,Never,Male,18-34 years,Millennials (1981 - 1996),Less than high school,"Less than $50,000","White, Non-Hispanic",Independent,Liberal Democrat,Registered,Pacific,West,None of the Above (Apr 2014 on); None (Nov 2008 - Dec 2013),1.0,1.0,Rented
Jan 2010,2010,Yes,Caused mostly by human activities,There is a lot of disagreement among scientists about whether or not global warming is happening,Somewhat worried,A moderate amount,A moderate amount,A moderate amount,A great deal,A great deal,In 100 years,Somewhat support,Strongly support,Rarely,Male,18-34 years,Millennials (1981 - 1996),Some college,"Less than $50,000",Hispanic,Democrat,Moderate/Conservative Democrat,Registered,Pacific,West,Catholic,4.0,2.0,Rented
Jan 2010,2010,Yes,Caused mostly by human activities,Don't know enough to say,Not very worried,Not at all,Only a little,Only a little,Only a little,Only a little,In 10 years,Somewhat support,Somewhat support,Rarely,Male,55+ years,Silent (1928 - 1945),Bachelor's degree or higher,"$50,000 to $99,999","White, Non-Hispanic",Republican,Conservative Republican,Registered,Pacific,West,"Protestant (e.g., Methodist, Lutheran, Presbyterian, Episcopal)",1.0,1.0,Owned by you or someone in your household
Jan 2010,2010,Yes,Caused mostly by human activities,Most scientists think global warming is happening,Very worried,A great deal,A great deal,A great deal,A great deal,A great deal,In 10 years,Somewhat support,Strongly support,Occasionally,Female,55+ years,Silent (1928 - 1945),High school,"Less than $50,000","White, Non-Hispanic",Republican,Conservative Republican,Registered,Pacific,West,Mormon,2.0,2.0,Rented
Jan 2010,2010,Don't know,Caused mostly by natural changes in the environment,There is a lot of disagreement among scientists about whether or not global warming is happening,Not very worried,Only a little,Only a little,Only a little,Only a little,Only a little,In 50 years,Somewhat support,Refused,Never,Male,55+ years,Baby Boomers (1946 - 1964),Bachelor's degree or higher,"$50,000 to $99,999","White, Non-Hispanic",Independent,Independent (Non-Leaning),Registered,Pacific,West,"Protestant (e.g., Methodist, Lutheran, Presbyterian, Episcopal)",4.0,2.0,Owned by you or someone in your household
Jan 2010,2010,Yes,Caused mostly by human activities,Most scientists think global warming is happening,Somewhat worried,Only a little,A moderate amount,A great deal,A great deal,A great deal,In 50 years,Strongly support,Strongly support,Rarely,Male,18-34 years,Millennials (1981 - 1996),Bachelor's degree or higher,"$50,000 to $99,999","White, Non-Hispanic",Democrat,Liberal Democrat,Registered,Pacific,West,"Protestant (e.g., Methodist, Lutheran, Presbyterian, Episcopal)",2.0,2.0,Owned by you or someone in your household
Jan 2010,2010,Yes,Caused mostly by natural changes in the environment,Most scientists think global warming is happening,Not very worried,Not at all,Only a little,Only a little,Only a little,Only a little,In 100 years,Somewhat oppose,Strongly support,Rarely,Male,55+ years,Baby Boomers (1946 - 1964),Some college,"$50,000 to $99,999","White, Non-Hispanic",Republican,Conservative Republican,Registered,Pacific,West,None of the Above (Apr 2014 on); None (Nov 2008 - Dec 2013),1.0,1.0,Owned by you or someone in your household
Jan 2010,2010,No,Caused mostly by natural changes in the environment,There is a lot of disagreement among scientists about whether or not global warming is happening,Somewhat worried,Only a little,Only a little,A great deal,A great deal,Don't know,In 25 years,Somewhat oppose,Somewhat oppose,Occasionally,Male,35-54 years,Generation X (1965 - 1980),High school,"Less than $50,000","White, Non-Hispanic",No party/not interested in politics,No Party/Not Interested in politics,Registered,Pacific,West,Other Christian,7.0,3.0,Rented
Jan 2010,2010,Don't know,Neither because global warming isn't happening,There is a lot of disagreement among scientists about whether or not global warming is happening,Not very worried,A moderate amount,A moderate amount,A moderate amount,A moderate amount,A moderate amount,In 25 years,Refused,Refused,Occasionally,Male,18-34 years,Generation X (1965 - 1980),High school,"$50,000 to $99,999",Hispanic,Refused,Refused,Refused,Pacific,West,Refused,4.0,2.0,Owned by you or someone in your household
Jan 2010,2010,Yes,Caused by human activities and natural changes,There is a lot of disagreement among scientists about whether or not global warming is happening,Not very worried,Not at all,Only a little,A moderate amount,A moderate amount,A moderate amount,In 100 years,Strongly oppose,Strongly support,Never,Male,35-54 years,Generation X (1965 - 1980),Bachelor's degree or higher,"$100,000 or more","White, Non-Hispanic",Republican,Liberal/Moderate Republican,Registered,Pacific,West,Catholic,4.0,2.0,Owned by you or someone in your household
