State_name,State_FIPS,Year,Total_population,Total_households,Female_population,Male_population,Median_age,Median_household_income_past_12m,Bachelor_degree,Master_degree,Professional_degree,Doctorate_degree,Num_employed,Num_unemployed,Labor_force,Avg_household_size,Median_value_owner_occupied_housing,Median_gross_rent,Households_no_internet,Households_internet_subscription,Households_solar_energy_fuel,Num_under_18,Num_18_to_34,Num_35_to_64,Num_65_more,Num_industry_agriculture_fishing_hunting
Alabama,01,2011,4802740.0,1844546.0,2478327.0,2324413.0,38.1,41415.0,443488.0,190977.0,43117.0,32950.0,1981095.0,259346.0,2240441.0,2.54,122700.0,687.0,,,94.0,307293.0,109477.0,297714.0,104209.0,25208.0
Alaska,02,2011,722718.0,257330.0,349802.0,372916.0,33.9,67825.0,77153.0,29269.0,8000.0,6039.0,344343.0,33367.0,377710.0,2.71,238300.0,1049.0,,,13.0,54072.0,18075.0,47236.0,11075.0,6504.0
Arizona,04,2011,6482505.0,2356055.0,3253991.0,3228514.0,36.2,46709.0,719546.0,291892.0,64212.0,43548.0,2687991.0,337217.0,3025208.0,2.69,153800.0,850.0,,,3062.0,454764.0,150313.0,419659.0,137589.0,29069.0
Arkansas,05,2011,2937979.0,1127621.0,1490129.0,1447850.0,37.5,38758.0,254903.0,96313.0,25130.0,18474.0,1235755.0,127480.0,1363235.0,2.54,106300.0,639.0,,,250.0,204493.0,68261.0,183026.0,62287.0,35279.0
California,06,2011,37691912.0,12468743.0,18941220.0,18750692.0,35.4,57287.0,4697422.0,1791770.0,559241.0,357887.0,16426694.0,2311055.0,18737749.0,2.96,355600.0,1174.0,,,12405.0,2583966.0,904383.0,2595120.0,637186.0,363561.0
Colorado,08,2011,5116796.0,1975388.0,2547660.0,2569136.0,36.2,55387.0,789859.0,331369.0,70901.0,50963.0,2492419.0,255244.0,2747663.0,2.53,233700.0,900.0,,,3199.0,347866.0,109295.0,363285.0,89503.0,32891.0
Delaware,10,2011,907135.0,333192.0,467217.0,439918.0,39.1,58814.0,104599.0,49862.0,11217.0,10565.0,420365.0,41275.0,461640.0,2.65,236900.0,960.0,,,209.0,58644.0,19941.0,55926.0,20501.0,4995.0
District of Columbia,11,2011,617996.0,268670.0,325713.0,292283.0,33.4,63124.0,99622.0,74134.0,34099.0,16909.0,310607.0,39876.0,350483.0,2.15,422400.0,1216.0,,,99.0,31310.0,17733.0,41770.0,9665.0,108.0
Connecticut,09,2011,3580709.0,1351643.0,1836914.0,1743795.0,40.3,65753.0,500103.0,275007.0,70962.0,37987.0,1742494.0,206992.0,1949486.0,2.56,278700.0,1021.0,,,611.0,213690.0,82582.0,227110.0,73493.0,5597.0
Florida,12,2011,19057542.0,7106283.0,9736393.0,9321149.0,41.1,44299.0,2190780.0,843014.0,250768.0,144667.0,8101898.0,1147856.0,9249754.0,2.62,151000.0,949.0,,,1287.0,1103862.0,417941.0,1192179.0,463756.0,86261.0
