Date, Palmer Drought Severity Index (PDSI),State, Precipitation, Average Temperature
1993-02,3.44,California,5.98,44.0
1993-03,2.90,California,3.05,52.9
1993-04,2.46,California,1.45,55.2
1993-05,2.68,California,1.44,62.3
1993-06,3.06,California,0.87,68.0
1993-07,3.02,California,0.03,72.2
1993-08,2.89,California,0.22,73.2
1993-09,-0.39,California,0.04,69.5
1993-10,-0.70,California,0.82,61.4
1993-11,-1.12,California,1.42,48.8
1993-12,-1.53,California,2.52,43.1
1994-01,-2.44,California,1.91,45.7
1994-02,-2.26,California,3.96,43.7
1994-03,-2.96,California,1.24,52.9
1994-04,-2.89,California,1.36,55.9
1994-05,-2.20,California,1.35,61.3
1994-06,-2.04,California,0.10,70.9
1994-07,-2.22,California,0.05,76.5
1994-08,-2.41,California,0.06,75.8
1994-09,-2.33,California,0.34,69.8
1994-10,-2.45,California,0.63,58.6
1994-11,0.59,California,3.73,42.9
1994-12,0.29,California,2.81,42.1
1995-01,3.46,California,12.50,44.7
1995-02,2.23,California,1.27,51.3
1995-03,4.71,California,9.57,48.9
1995-04,4.79,California,2.69,52.9
1995-05,5.12,California,1.73,58.4
1995-06,5.76,California,0.95,66.1
1995-07,6.26,California,0.17,74.2
1995-08,5.71,California,0.06,75.0
1995-09,4.73,California,0.07,71.2
1995-10,3.37,California,0.05,62.2
1995-11,1.86,California,0.36,55.9
1995-12,2.18,California,5.78,46.4
1996-01,2.34,California,5.12,45.6
1996-02,2.90,California,5.99,48.8
1996-03,2.28,California,2.57,51.5
1996-04,2.15,California,2.10,56.8
1996-05,2.84,California,2.01,62.5
1996-06,3.08,California,0.18,70.4
1996-07,2.88,California,0.20,78.1
1996-08,2.16,California,0.06,76.7
1996-09,1.74,California,0.27,68.4
1996-10,1.84,California,1.70,59.2
1996-11,1.86,California,3.35,51.1
1996-12,3.45,California,8.96,45.6
1997-01,4.62,California,7.62,44.5
1997-02,-0.94,California,0.71,46.6
1997-03,-2.00,California,0.84,54.0
1997-04,-2.25,California,0.89,55.6
1997-05,-2.77,California,0.38,67.6
1997-06,-3.03,California,0.65,68.4
1997-07,-3.08,California,0.31,74.0
1997-08,-2.86,California,0.27,74.9
1997-09,0.45,California,0.94,70.8
1997-10,0.31,California,1.08,59.0
